Title,Series_Title,Issue_Number,Issue_Variant,Image_url,Condition,Grade,Publisher,Publication_Year,Format,Tradition,Features,Era,Type,Genre,Character,Series,Universe,Sale_Currency,Sale_Price,Shipping_Price,Sell_Method,Num_of_Bids,Time_of_Sale,Sellers_Location,Sellers_Handle,Sellers_Feedback_Score,listing_url
The Amazing Spider-Man #244 3rd Hobgoblin Newsstaned Edition,Amazing Spider-Man,244,,https://i.ebayimg.com/images/g/2GIAAOSwZ11jjmyi/s-l500.jpg,Like New,,Marvel,1983,Single Issue,US Comics,First Printing,Bronze Age (1970-83),Comic Book,Superheroes,Spider-Man,,Marvel (MCU),US ,6.99,5.25,buy_it_now,,2022-12-23,"Canonsburg, Pennsylvania, United States",stew1974,3698,https://www.ebay.com/itm/125649333455?hash=item1d4148accf:g:2GIAAOSwZ11jjmyi&amdata=enc%3AAQAHAAAAoNOJkuPRWLJgXOgoAk6ZqLkjWmGb%2BtdECRz0zNSChkS9Ef9aAzBOxH%2FlxbdvfksjPsO5eN3%2Fuahtlef8Wf80bRMC1Mc4sdCwCWmnbjaBKkFMUXai6dR8K4FErTdmTTa0awoIWSlM%2BqeGH2X6Sy4gaF2veF6Q6K3LtARJ3Sl0komSED%2FS1AwYRBWWzgcoPEnoaVUrZaKFXnpAPZxHAqMw%2Bvw%3D%7Ctkp%3ABk9SR_jrmPunYQ
The Amazing Spider-Man #281 Sinister Syndicate Newsstand Edition,Amazing Spider-Man,281,,https://i.ebayimg.com/images/g/BCQAAOSwfr9jjm-G/s-l500.jpg,Like New,,Marvel,1986,Single Issue,US Comics,First Printing,Copper Age (1984-1991),Comic Book,Superheroes,Spider-Man,,Marvel (MCU),US ,6.99,5.25,buy_it_now,,2022-12-23,"Canonsburg, Pennsylvania, United States",stew1974,3698,https://www.ebay.com/itm/374390141528?hash=item572b643258:g:BCQAAOSwfr9jjm-G&amdata=enc%3AAQAHAAAAoGL7w1RphxlGY6IKhuuyWcTGTpKoY6cu%2FEoj1g%2F7%2BiNLl6s3%2FPsANcCy6wTfA35a2G6RNHqla9TsUbXfy4bDSSueobQ1znSsK%2BL9gOCMNlAPqsTXsxFHkheRQYCMqOSBSJ%2FoIma3BERA1bk%2BAI1mqJoOSeP1XtcpyaAflTpWHLA4W6rzJuiLYvd82J3f7%2Fwr0NdJb8mIxEx6CzD4J0N86gM%3D%7Ctkp%3ABk9SR_jrmPunYQ
The Amazing Spider-Man #260 Hobgoblin,Amazing Spider-Man,260,,https://i.ebayimg.com/images/g/Or4AAOSwZ3hjjm0G/s-l500.jpg,Like New,,Marvel,1984,Single Issue,US Comics,First Printing,Copper Age (1984-1991),Comic Book,Superheroes,Spider-Man,,Marvel (MCU),US ,6.99,5.25,buy_it_now,,2022-12-23,"Canonsburg, Pennsylvania, United States",stew1974,3698,https://www.ebay.com/itm/125649336392?hash=item1d4148b848:g:Or4AAOSwZ3hjjm0G&amdata=enc%3AAQAHAAAAoJUyEgxFp4hqNnubIrIGNM0MEE%2FJsnTyKilZTUcOhxKTlpQR1Be2jUOoXBIgMRJajBXhbAbb0nogF4xLABLJfJjceHA%2FxOnhi3je9wa4Yx6FOS%2B05fY3j056fZRhILbgYfC9TTvvmbwCy429jKlIGoqObTwqemDI3KFe477sM1VoVJZQ8f5hM4sVv11BVgcJqpYpMbkm988bWXzjBoZrwPk%3D%7Ctkp%3ABk9SR_jrmPunYQ
"Amazing Spider-Man #137 (1974) CGC 9.8  OW/W  Conway - Kane   ""Green Goblin""",1,137,,https://i.ebayimg.com/images/g/hq0AAOSwDgpjpTyC/s-l500.jpg,--,9.8,Marvel Comics,1974,Softcover,US Comics,1st Print,Bronze Age (1970-84),Comic Book,Superheroes,Spider-Man - Green Goblin,,Marvel (MCU),US ,599.99,0.0,best_offer_accepted,,2022-12-23,"Barnegat, New Jersey, United States",madcapcomics,21575,https://www.ebay.com/itm/354472005711?hash=item52882d904f:g:hq0AAOSwDgpjpTyC&amdata=enc%3AAQAHAAAAoENYhtly9OIF3lysDDWS1UCTDCdrDUR8f7KT%2FzGisSOO3J9o3u5hQK6sxqFJcTsskwUcI7d0Zyv8Hi6bTnb%2BbEvIijItjQrqfaYh6yyYxaGNDdIUMfWAgyfV9WGPQoz4G3zCfgwSk5e5Z9AS2b1Pt698dVhv5Hc%2BGLXpx5uaCy9rQsYOZtdQZYT4833Lm6RLLqoTsKCnJ9fCsvk5e4vmGns%3D%7Ctkp%3ABk9SR_rrmPunYQ
The Amazing Spider-Man #260 Hobgoblin Newsstand Edition,Amazing Spider-Man,261,,https://i.ebayimg.com/images/g/0NEAAOSwibxjjm2H/s-l500.jpg,Like New,,Marvel,1984,Single Issue,US Comics,First Printing,Copper Age (1984-1991),Comic Book,Superheroes,Spider-Man,,Marvel (MCU),US ,5.99,5.25,buy_it_now,,2022-12-23,"Canonsburg, Pennsylvania, United States",stew1974,3698,https://www.ebay.com/itm/374390136087?hash=item572b641d17:g:0NEAAOSwibxjjm2H&amdata=enc%3AAQAHAAAAoOqSXiZ%2FujcFvgNzPaqCiWLH6yRAu%2BfZWR3yOTHfvejAsP31e4%2BXkJ1rfOmykrVB3TqEHbdx2i4%2FSwrY5xS6vnY4Om%2BQnRMzytDerbuc%2BgAsLaACKZF3%2FhzzYMb5z3AAjYUTUqDr3Gce%2FQsLQekgbNFtX%2F%2FQ3i99XQzODYYGcYFM2Ya3Y5AnRhGdIekRymnuxhuhzY63v86H7YhbnMf5748%3D%7Ctkp%3ABk9SR_jrmPunYQ
Spider-Man Peter Parker Back in Black Matt Fraction  Marvel HC NO DUST JACKET,Peter Parker,,,https://i.ebayimg.com/images/g/ZkAAAOSw9gVjY8I-/s-l500.jpg,Acceptable,,"Marvel Worldwide, Incorporated",2007,Hardcover,US Comics,Dust Jacket,Modern Age (1992-Now),,Comics & Graphic Novels,Spider-Man,,Marvel (MCU),US ,18.50,8.99,best_offer_accepted,,2022-12-23,"Hinesville, Georgia, United States",jeszet2,180,https://www.ebay.com/itm/354372858337?hash=item528244b1e1:g:ZkAAAOSw9gVjY8I-&amdata=enc%3AAQAHAAAAoPbjb%2F6wkOibVo1O7ru%2BLFc2fdH1RXGFSxZS8tmuBvQL4BA3GncWdLZBQIt4uv5qFYBB4apRu%2FN5Bp7DbdbZt%2BtFsD93UIZTpTnurKWNA8YWmXjQivk0gOrNolvkAYCt2FAC7svd1LtYeMOmejzU5I6nbeqS9fftRvSWbreRgpmboDBwkW7z1mrJWQVQy8tv%2Bay0KPR24%2FY93JaSsQ2tJJI%3D%7Ctkp%3ABk9SR_rrmPunYQ
The Amazing Spider-Man #272 Slyde Newsstand Edition,Amazing Spider-Man,272,,https://i.ebayimg.com/images/g/fgMAAOSw0thjjm3b/s-l500.jpg,Like New,,Marvel,1985,Single Issue,US Comics,First Printing,Copper Age (1984-1991),Comic Book,Superheroes,Spider-Man,,Marvel (MCU),US ,4.99,5.25,buy_it_now,,2022-12-23,"Canonsburg, Pennsylvania, United States",stew1974,3698,https://www.ebay.com/itm/125649340380?hash=item1d4148c7dc:g:fgMAAOSw0thjjm3b&amdata=enc%3AAQAHAAAAoLSoYszCiqCiGUWnEjLf4ycbKgX%2BLrwEvfosuYaw7SR9lZ5FIWncZCbYXD0MXxb3q%2BmFEU%2FIWiNbcvxJ3EBBjWTfrrqpD7URgezigcryiVtPmNcYT%2FW58wpbekfio9l2Ej7uuJYj%2FdSh1snDZXm6X29y%2F8YwmbyzD2a71no%2BYMqDMXm92ooEMleelqcN1IxDD%2BE%2FTxLRe%2Fc6e5rx6GVsfJA%3D%7Ctkp%3ABk9SR_jrmPunYQ
The Amazing Spider-Man #277 Hobgoblin Daredevil Newsstand Edition,Amazing Spider-Man,277,,https://i.ebayimg.com/images/g/ru0AAOSwATdjjm6T/s-l500.jpg,Like New,,Marvel,1986,Single Issue,US Comics,First Printing,Copper Age (1984-1991),Comic Book,Superheroes,Spider-Man,,Marvel (MCU),US ,6.99,5.25,buy_it_now,,2022-12-23,"Canonsburg, Pennsylvania, United States",stew1974,3698,https://www.ebay.com/itm/125649343761?hash=item1d4148d511:g:ru0AAOSwATdjjm6T&amdata=enc%3AAQAHAAAAoGwXccFSQ991L7UJrDPg4bcEqzXOjFd%2FtZG3ns98fwpCW%2FzyRmeSea7odhCmchAAOdhVErfBD4MbMemcn2Go%2BcAtSq4QAoXh0G0kIGG9Uf%2Fw5oiQV2MSYu9NlbsNGFOXpdtQetQnzNibAQ%2BAhFRdfhE3lwT%2BVauK7tDpRifZtRczk8rkIjJtj%2BJaAwo1UzIBQROrvdgVYb3ktM48y3S0D2k%3D%7Ctkp%3ABk9SR_jrmPunYQ
The Amazing Spider-Man #280 Sinister Syndicate Newsstand Edition,Amazing Spider-Man,280,,https://i.ebayimg.com/images/g/ma0AAOSwRMhjjm9P/s-l500.jpg,Like New,,Marvel,1986,Single Issue,US Comics,First Printing,Copper Age (1984-1991),Comic Book,Superheroes,Spider-Man,,Marvel (MCU),US ,6.99,5.25,buy_it_now,,2022-12-23,"Canonsburg, Pennsylvania, United States",stew1974,3698,https://www.ebay.com/itm/374390141212?hash=item572b64311c:g:ma0AAOSwRMhjjm9P&amdata=enc%3AAQAHAAAAoNbT%2F4AYrHevI2tYb4LIKTzlGS4a5RFgoK6e3B8ncHtAJSfjbQZhspoRk9B2%2FaSmgz%2FUaO0P4%2F3zWFL7A9mZTjlES%2B624bUBh467GPRLTLnbgwX3cB%2Fj5BHxMjgvbYaiXkRJXirUDl45nM3zI23KmN1zdKAk91PqeJd%2BzbDl0bo3Nj6uEgzzf4dkVrDyuvS4SjbM%2B8s87W9OIlf4jV8jtOw%3D%7Ctkp%3ABk9SR_jrmPunYQ
AMAZING SPIDER-MAN #1 12/2022 NM/NM- FACSIMILE REPRINT MARVEL COMICS,Amazing Spider-Man,1,,https://i.ebayimg.com/images/g/cHwAAOSwpCVjOL6L/s-l500.jpg,Brand New,,Marvel Comics,2022,Single Issue,US Comics,"Boarded, Reprint, Bagged",Modern Age (1992-Now),AMAZING SPIDER-MAN 1 FACSIMILE EDITION,"Action, Adventure, Classics, Fantasy, Superheroes",Spider-Man (Peter Parker),,Marvel (MCU),US ,14.99,5.75,buy_it_now,,2022-12-23,"Overland Park, Kansas, United States",greenpathcomics1,1190,https://www.ebay.com/itm/234830810594?hash=item36ad01cde2:g:cHwAAOSwpCVjOL6L&amdata=enc%3AAQAHAAAA4FFpXG8p234NdJKsCTMX4RyKo0FKmuS6Xlev0SdeGqCPEgFc6zR87dE3k%2FHNopBt3Yd%2BqpRX%2FekLN%2BAo6lC6cg1OG4BpOAgxyEmnGZ3brCWR6R%2FE156Urq6N5RT3M8pAtmgUIc48Ei%2Bv5pJRKZtglv51KNW9dnAXKUyFoYW%2BPU%2FW1ZIFXiWecznjovt0%2BVG%2BWRDQyVa%2BemXkhuWXKwzNi%2B9UHPTgeI0MrFDBt7o2rqYNjDx4z3%2BNABhKaPVC9643UzwMP8aYQeCbQYoD036RQCzBYKFneL84zJagWIMJQ%2Fo4%7Ctkp%3ABk9SR_rrmPunYQ
