Title,Series_Title,Issue_Number,Issue_Variant,Image_url,Condition,Grade,Publisher,Publication_Year,Format,Tradition,Features,Era,Type,Genre,Character,Series,Universe,Sale_Currency,Sale_Price,Shipping_Price,Sell_Method,Num_of_Bids,Time_of_Sale,Sellers_Location,Sellers_Handle,Sellers_Feedback_Score,listing_url
amazing spiderman 365 hologram 2099 Hi res Scans,,,,https://i.ebayimg.com/images/g/nvoAAOSwr6lir-KT/s-l500.jpg,--,9.4,Marvel Comics,,Single Issue,US Comics,,Modern Age (1992-Now),,Superheroes,Spider-Man,Amazing Spider-Man,Marvel (MCU),US ,24.00,5.50,buy_it_now,,2022-12-23,"Wappingers Falls, New York, United States",yeahovah,3365,https://www.ebay.com/itm/325236155015?hash=item4bb995e287:g:nvoAAOSwr6lir-KT&amdata=enc%3AAQAHAAAAoLKHV99EMrk6Z60IeDu%2FTiRzHwCPAbo737VC%2B5ISTes3zqyPVyOEMvhAU%2BiU8jGY47VXHSWzsP%2B5%2FrscreVHYHhe6N2HTjDTPBhHbfkIBepMiAx18NTqcBm1aCRjPWWx5UYxaX14910hrIOa1N%2BYkF%2BgBOC%2B%2BfdWyJS8LOTEJ752vF0lGye926FuxCLFeKOP7m4HfjMWcz5ICWlOzSjgXLI%3D%7Ctkp%3ABk9SR971tfunYQ
Spiderman 13 Black suit Mcfarlane Hi res Scans,,,,https://i.ebayimg.com/images/g/tyYAAOSwoPNgaj7C/s-l500.jpg,--,9.4,Marvel,,,US Comics,,Modern Age (1992-Now),,Superheroes,Spider-Man,,,US ,25.00,5.50,buy_it_now,,2022-12-23,"Wappingers Falls, New York, United States",yeahovah,3365,https://www.ebay.com/itm/224412478574?hash=item344006ac6e:g:tyYAAOSwoPNgaj7C&amdata=enc%3AAQAHAAAAoMx4q0L5YWidG%2BnldfV1bi%2FmpqI3bmHlQQFcwlakIIm30soWGS4Djacg12rDJ7N2nNBQ9%2BQ91e7ILT2jg3GBGa%2B8sQu2MHOXv2ViP9h9aJqTdfppe1uBLY6jhSCl8AjXDoQvI2yrYOr8BmEqNT22i%2F5502p8Xv%2Bvpi3Ef9JpRSAf6CDZDImUpJgfOJShDh9b%2Ft%2FjkOOKJdOeWzLETO8DDSU%3D%7Ctkp%3ABk9SR971tfunYQ
amazing spiderman 358 Hi res Scans,Amazing Spider-Man,,,https://i.ebayimg.com/images/g/lxAAAOSwjy9iuQlB/s-l500.jpg,--,9.4,Marvel Comics,,Single Issue,US Comics,,Modern Age (1992-Now),,Superheroes,Spider-Man,,Marvel (MCU),US ,5.00,5.50,buy_it_now,,2022-12-23,"Wappingers Falls, New York, United States",yeahovah,3365,https://www.ebay.com/itm/325250427459?hash=item4bba6faa43:g:lxAAAOSwjy9iuQlB&amdata=enc%3AAQAHAAAAoJa979yEEkpLgp1qu4rYDCjeEW5SyBBFHfzwZrp7YZgjQB3%2FuAoOd5zjZ9sKQZwwuwzHvzjonsjznPqLvlta5IpOkkeUlxnjVcNFWy0teIH7FK8ld0hseyI%2FlZht7gAmY9kCmIY8z2WEmY80BOIVX275pjCJDZWVYdTlbseWAmB%2FdFAW4RafivSxUWmFJ17Jw%2BUQAEqAP0y9qIOkrGPa3AA%3D%7Ctkp%3ABk9SR971tfunYQ
Web of Spider-Man #3 1985 VF-NM - Vulture,Web of Spider-Man,16,,https://i.ebayimg.com/images/g/uWQAAOSw57pjIe31/s-l500.jpg,Very Good,9.0,Marvel Comics,1985,Single Issue,US Comics,First Printing,Copper Age (1984-1991),Comic Book,"Action, Adventure, Superheroes","Spider-Man (Peter Parker), Vulture (Adrian Toomes)",,Marvel (MCU),US ,3.00,4.16,highest_bidder,1,2022-12-23,"Siler City, North Carolina, United States",ljo_joe_szzxpztfjh,73,https://www.ebay.com/itm/334664569000?hash=item4deb9010a8:g:uWQAAOSw57pjIe31&amdata=enc%3AAQAHAAAAoIcU6h18tz79Gf4hsYXuMRiLrKNxrv9OqsmmWMBgV1mgV1LZCpbHnrYnL%2Ba3z5AL4Xp81yglHqCdugGkuEaaFQhq%2FiTE7mv4sG8%2FR95%2BdJjCkTj6t0bHAaboBMM7VgYghC%2F8KYr1wVKHwCip1lRyb0q4eW6go5XzVO1oOwZFnv4AOUypAyjQlP5ArimqQGaBCWJiH1nw7ZthUZO%2FCA7ayr4%3D%7Ctkp%3ABk9SR971tfunYQ
MILES MORALES SPIDER-MAN #40 PREDATOR VARIANT NM SPIDER-SMASHER PROWLER SELIM,MILES MORALES SPIDER-MAN,40,,https://i.ebayimg.com/images/g/q~kAAOSwrfxik5Y7/s-l500.jpg,Brand New,,MARVEL,2022,Single Issue,US Comics,"Bagged, Boarded",Modern Age (1985-Now),Comic Book,"Action/Adventure, Action, Superheroes",Spider-Man,,Marvel (MCU),US ,4.99,4.99,buy_it_now,,2022-12-23,"Union City, New Jersey, United States",milkbone88,8404,https://www.ebay.com/itm/155015095576?hash=item24179ea518:g:q~kAAOSwrfxik5Y7&amdata=enc%3AAQAHAAAA4MScSqpfpTQkttsEQ%2FgZkKx7uLrKRm5AxB4zR2y5J%2BJtZsBcY0SjFbw1wsKaD9CyM1X8lvf%2FqWG%2Bx1FzHfGCNtHpntRTLdcEPE80FTUuuYIKmBbZryK38ILIw04qJ6BkGdkAxtyqj8axIX1OP08cOqk5yfRKCRiYyWgH4zYWk4RNyJD2E0bo8GOrHOkx%2F%2FOA%2Br0tDnnnLbVAHI72RX2DqayvytQblDW5JTcaYWPLHQFYzdoV76Z0M0wSP1WjD0Ky%2BSgprtHQlXpgfgxi41J%2BdAEveHxVc1nj43SYs%2BWEDhLT%7Ctkp%3ABk9SR9z1tfunYQ
 Spiderman 1 Mcfarlane Silver cover Hi res Scans,,,,https://i.ebayimg.com/images/g/4qQAAOSwSdFf1Mzh/s-l500.jpg,--,9.4,Marvel,,,,,,,,Spider-Man,,,US ,15.00,5.25,buy_it_now,,2022-12-23,"Wappingers Falls, New York, United States",yeahovah,3365,https://www.ebay.com/itm/224275819540?hash=item3437e16c14:g:4qQAAOSwSdFf1Mzh&amdata=enc%3AAQAHAAAAoHY%2B%2BHkI22OvFMiaKgm%2FhHLq3i5KPQv%2FJn%2FNha4vtgjOpFiNhpcM8%2B3ls6ezd9FJ7U7tBiaczm8M7IzpQnEkiU5QhxpUSCgLuQ8xexsmJWhEyXNyoxJHDooXzuXYwAC%2BLtw%2BJkZbaALlwZDNjYTOz0tk0DHNVmXAkSoDyQXBjuS2OgKTo8XyBhWYo20BFCdQvTfNpNF4gZhqI%2BYBXN5D42g%3D%7Ctkp%3ABk9SR971tfunYQ
AMAZING SPIDERMAN #365 CGC 7.5 1ST Appearance of SPIDERMAN 2099 NEWSSTAND! 1992,Venomized,26,,https://i.ebayimg.com/images/g/T7kAAOSw4fBjb70w/s-l500.jpg,--,7.5,Homage,1984,Omnibus,US Comics,"First Printing, 1st Edition, Key Issue",Copper Age (1984-1991),Comic Book,"Classics, Horror & Sci-Fi, Marines, Patriotic, Superheroes, War","Ghost Rider, Spider-Man, Thor, Carnage, Chthon, Key, Moon Knight, She-Hulk, Venom",,"Conan The Barbarian, Marvel (MCU), Star Wars, Transformers",US ,39.99,12.75,highest_bidder,1,2022-12-23,"Washington, District Of Columbia, United States",ahmenhotepiv,634,https://www.ebay.com/itm/115644676501?hash=item1aecf5b995:g:T7kAAOSw4fBjb70w&amdata=enc%3AAQAHAAAAoPUhiqiNyWU1wNgeYz3NgKbVpUx%2FIUJwErApGWyudq8Cm9oOwMYJxJIs3HxLFTliuy6jPwzEshUAvIg%2BYYTe8xujjXVvvTgvInSqXxRZmBIlCGm7e6nEvr2DQpxX%2BG7scpsu99Fg1HQICHkso4foo8j3eVZ%2BpoQIzWmfE9OAVlIG3KQLqspCkxCssV%2F11vwnpr8Fx5wubHNABxdneh8kvYE%3D%7Ctkp%3ABk9SR-L1tfunYQ
Guardians of the Galaxy #1 Marvel 2008 1st New Starlord Team  Origin 🔑 CGC 8.5,Guardians of the Galaxy,1,,https://i.ebayimg.com/images/g/UbIAAOSwaXxjnyov/s-l500.jpg,Brand New,8.5,Marvel Comics,2008,Softcover,US Comics,"First Printing, 1st Edition, Annual, Certificates of Authenticity (COA) Included, Collector's Edition, Commercial Comic, First Character Appearance, Key Issue, Limited Edition, Pre-Code Horror Comic, Special Edition, Variant Cover, Vintage Paperback",Modern Age (1992-Now),Comic Book,"Animal, Bad Girl, Car, Classics, Comedy, Crime & Thriller, Games, Horror & Sci-Fi, Illustration, Martial Arts, Movie,TV & Music, Movie & TV, Movie Adaptation, Science Fiction, Superheroes, Suspense, TV-Comic, War","Darkseid, Hulk (Amadeus Cho), Hulk (Bruce Banner), Moon Knight, Silver Surfer, Spider-Man (Miles Morales), Spider-Man (Peter Parker), Thanos, Thor (Jane Foster), Wolverine (Logan)",,"Battlestar Gallactica, Buffy the Vampire Slayer, Conan The Barbarian, DC Universe, Disney, Doctor Who, Marvel (MCU), Star Wars, Stranger Things, Transformers, World of Warcraft",C ,39.00,14.00,highest_bidder,12,2022-12-23,"Dartmouth, Nova Scotia, Canada",koalacomics,937,https://www.ebay.com/itm/334670318591?hash=item4debe7cbff:g:UbIAAOSwaXxjnyov&amdata=enc%3AAQAHAAAA4Il%2BzqrrjK4FhPMLTpOsCwZ1uhRyFG1y%2BN%2BJX9pc%2FpB0x2csnDTbzkPwVHbs9vO%2FPEUSAT%2Fd4ciRqXmFLSChCI6Zb%2FJ%2FqC8gFjf5IgAijv%2FYbyuTmk273fCEI2QrXgQINwaArmssPKzFETHKO1BmCYG7bccwCMAr28eeJyaE8CIMVhe%2BUuygX4eDDHDwkcAlPrzEnra6wTfCc3Qp8eSLGJlmmBPr%2BBKENeTD3IsxMdmGhzsmbzmGTjt2y0%2FeTO63yL5TtGx0NXwfHHqLJ3fk9FC9DkKVzCTPMGGCRMiUFh%2Fj%7Ctkp%3ABk9SR-L1tfunYQ
SECRET WARS 1 2015 CBCS 9.8 HEROES CON MILES MORALES SIGNED MICHEAL ZECK NOT CGC,secret wars,1,,https://i.ebayimg.com/images/g/zqQAAOSwO6dis2ot/s-l500.jpg,--,9.8,Marvel Comics,2015,Single Issue,US Comics,1st Edition,Copper Age (1984-1991),HEROES CON EXCLUSIVE,"Action, Superheroes, Action/Adventure",SPIDERMAN,Marvel Super-Heroes Secret Wars,Marvel (MCU),US ,250.00,12.75,buy_it_now,,2022-12-23,"Yonkers, New York, United States",ewok-slayer,1506,https://www.ebay.com/itm/314126513244?hash=item492366345c:g:zqQAAOSwO6dis2ot&amdata=enc%3AAQAHAAAAoOah2sDOdQKDh0C3LKKebLL32D34%2Fh2F2m3D%2BoVQwonEIpzNJuk%2BHNLdZL20l1dbC6uugyNS1sosbsMixHXmfLPhrGpu07R1a4N%2FepKJIOrFonoq34z9En%2FM7jX3Pt%2FKGtELERrhT3OQwS5aTmH6b8qfJsnqex4DsYbb%2B9nMs2V4wIEsXLaZ3hs3TCNwlDJQXw3bImcCkGDniWbVSy2sCVg%3D%7Ctkp%3ABk9SR-L1tfunYQ
Amazing Spider-Man (1963 1st Series) #179,Amazing Spider-Man,,,https://i.ebayimg.com/images/g/Jw8AAOSwBhNjn3zf/s-l500.jpg,Very Good,,Marvel Comics,1978,Single Issue,,,Bronze Age (1970-83),Comic Book,,Spider-Man (Peter Parker),,Marvel (MCU),US ,40.00,5.95,buy_it_now,,2022-12-23,"Cincinnati, Ohio, United States",cincycomics2019,1469,https://www.ebay.com/itm/275585293049?hash=item402a29daf9:g:Jw8AAOSwBhNjn3zf&amdata=enc%3AAQAHAAAAoF5heE5rouUoERmH7%2FfmllFYvXTn4d196VSLWjIpuvuufzsXu9RY5pH07xafJ9pPNiKicts8XjuT86MMDWp95RgSDHgy4hZQBES0fryB1Gt%2Bkd56sGtauSiIu7Ol6uUSGeBKwVvTifta81Iyo9XzkGuFaFrmI95wS85LvslJux6bZxNIw8B8zBZ2i2y3QFesZp8ABsUBfNtEehn9mcfcKVM%3D%7Ctkp%3ABk9SR-L1tfunYQ
