Title,Series_Title,Issue_Number,Issue_Variant,Image_url,Condition,Grade,Publisher,Publication_Year,Format,Tradition,Features,Era,Type,Genre,Character,Series,Universe,Sale_Currency,Sale_Price,Shipping_Price,Sell_Method,Num_of_Bids,Time_of_Sale,Sellers_Location,Sellers_Handle,Sellers_Feedback_Score,listing_url
MILES MORALES SPIDER-MAN #23 KIB,,,,https://i.ebayimg.com/images/g/yE8AAOSw7oZgIyoO/s-l500.jpg,Brand New,,Marvel,,,,,,,,Spider-Man,,,US ,3.99,4.50,buy_it_now,,2022-12-22,"Van Nuys, California, United States",sl.collectibles,527,https://www.ebay.com/itm/203256382382?hash=item2f530643ae:g:yE8AAOSw7oZgIyoO&amdata=enc%3AAQAHAAAAoLlFxsPxZeCiMM6vpruNzVsd8D0G9JZ8XvjOQiD4zBGz1ObUoQ09g%2FKr%2BtmIFI3GnzFrgf9am%2Fwf%2FMco14vj0mbbZ7u1EvmO1O4o5FJ4q6F8SfRtpVd402CpApDSfy29yOZc8QBmxb9rVRWkbUqKqKKeSLp1qkIZ6iHpcmiCn7aci0ulcVlrtEgIiXnECnWL5HL%2FqwAVy%2BjDGX5jnoACwE8%3D%7Ctkp%3ABk9SR76lx8KnYQ
AMAZING SPIDER-MAN #129 (1974) - CGC GRADE 8.5 - 1ST APPEARANCE OF PUNISHER!,Amazing Spider-Man,129,,https://i.ebayimg.com/images/g/OBUAAOSw7ddjmjVf/s-l500.jpg,Very Good,8.5,Marvel Comics,1974,Single Issue,US Comics,"First Printing, 1st Edition, First Character Appearance, Key Issue",Bronze Age (1970-83),Comic Book,"Action, Adventure, Superheroes","Punisher, Spider-Man (Peter Parker), Jackal",,Marvel (MCU),US ,3000.00,14.00,best_offer_accepted,,2022-12-22,"Vancouver, Washington, United States",css1016,20557,https://www.ebay.com/itm/304739087464?hash=item46f3dd7468:g:OBUAAOSw7ddjmjVf&amdata=enc%3AAQAHAAAAoKYghtZgnk57vksD1drq6ONVN8wBjdXfBcLcoHYIoI3hnuc%2F19f2UFRjx%2BUUgLXolW6E14%2Bl1ZljKN0PlmnDG7ULP8%2FNRggb5yMAQW7jXFCbRDksKPMV0RK%2BU%2Fg8SF1KsK3EfUxUd9d%2FnMAfzVcqV6QSuPV4C%2Fo7o0CQYB2U4I4AGO6l9Ie%2Flm5CNt4dK3uCYXe9ZKc4NCh9iLwOLmok0I8%3D%7Ctkp%3ABk9SR76lx8KnYQ
Marvel Comics Amazing Spider-Man #250 Spider-Man Battles HobGoblin Newsstand,Spider-Man,250,,https://i.ebayimg.com/images/g/xQEAAOSwrH5jm6gn/s-l500.jpg,Good,,Marvel Comics,1983,Single Issue,US Comics,"1st Edition, First Character Appearance, First Printing",Bronze Age (1970-83),Comic Book,"Classics, Superheroes",Hobgoblin,,Marvel (MCU),US ,10.50,6.94,highest_bidder,3,2022-12-22,"Pleasant Hill, California, United States",dtbailey101,384,https://www.ebay.com/itm/165836219211?hash=item269c9be34b:g:xQEAAOSwrH5jm6gn&amdata=enc%3AAQAHAAAAoAPdJz5Ep%2Fk9bHbsCWOocBEXZTgL6n2ACcNhaTiPGsAONZVSuvaAwbMTaeN4%2Fy6HHEe9M4Wkd42I%2Blbe4UmMfSMukp1fJpdgJoYBU3GZjEMuizr9alqxQ7AZc7souwTfHx4dKYYzyWbXG27PKLZDpl6TqtX5F%2BzFTb8V8gLEIh8MpsXxp5%2Fi547PSQqeyoLTc1zbPifYtZfWLH2eDiuVXTE%3D%7Ctkp%3ABk9SR8Clx8KnYQ
Amazing Spider-Man#150 Clone Saga Begins 1975 Bronze G/VG 🗝,Spider-Man,150,,https://i.ebayimg.com/images/g/FIoAAOSwpBVjcS4o/s-l500.jpg,--,3.0,Marvel,1975,Single Issue,US Comics,Key Issue,Bronze Age (1970-84),Comic Book,Superheroes,Spider-Man,Amazing Spider-Man,Marvel (MCU),US ,4.99,6.00,highest_bidder,1,2022-12-22,"Rochester, New York, United States",bcccollectibles,623,https://www.ebay.com/itm/364084873657?hash=item54c52649b9:g:FIoAAOSwpBVjcS4o&amdata=enc%3AAQAHAAAAoPfpJCed0T3SzUTkoXPTJBgEgK3yoSuXVxwqcYjy6c2BG5svYcMKkS1BrzYTtigWNE5GrMy3aUlWzfn44ie52gJJQiABssMb9Vo6jEh4qAMM9xScUrJQPDDhQE%2B1xau6j2%2BCMz1cDo9JvdPQjIpwmetMHGI0CV9q%2Fxcn%2FE0BNrzjgNs1LIdqOsc1%2BeZDgE1jjV3QAJy1V2ssxtaXjjIXuhU%3D%7Ctkp%3ABk9SR8Clx8KnYQ
Amazing Spider-Man #583 2nd Print (2009) Marvel CGC 9.8 Barack Obama Cover,Amazing Spider-Man,,,https://i.ebayimg.com/images/g/QA8AAOSw4fJjgpRq/s-l500.jpg,Brand New,9.8,Marvel Comics,2009,,US Comics,,Modern Age (1992-Now),Comic Book,,Spider-Man (Peter Parker),,,US ,74.80,12.75,buy_it_now,,2022-12-22,"Conway, South Carolina, United States",powercomics,14328,https://www.ebay.com/itm/155277701216?hash=item242745b060:g:QA8AAOSw4fJjgpRq&amdata=enc%3AAQAHAAAAoCgJTmLIIfrMH9lk1esEjwhZj6bsvqEV5II31QT6p9RuA9Q0EkRfE%2FijbyTvQHIljILYGm0Q%2FCt1Fm%2BDApjmhIKBTkosyB4fEMprsHZH7hj8BDwBySqO%2BDeRI1eUbJQrKX2SgXVkSM7nFS7K5%2BoSgdzjWPRt26NHm7%2FvxyNYPepcFfDJ%2F%2BlMdkbLGrJaZ42i8IToTojUipFWAqhMsSX3YLg%3D%7Ctkp%3ABk9SR76lx8KnYQ
🔥BIG DEALS🔥 DC: Catwoman 43 - Besch Trade Variant (See desc.),Spider-Man,1,,https://i.ebayimg.com/images/g/KQcAAOSwTbBjoT~P/s-l500.jpg,Brand New,,DC Comics,2022,Single Issue,US Comics,"First Printing, Boarded, Certificates of Authenticity (COA) Included, Collector's Edition, Limited Edition, Set, Variant Cover",Modern Age (1992-Now),"Cover Variant - Artist Cover, Cover Variant - B, Incentive Variant, Retailer Exclusive Variant, Store Variant, Virgin Variant","Action, Adventure, Cartoon, Fantasy, Fiction, Horror & Sci-Fi, Monster, Mystery, Occult, Science Fiction, Superheroes, Supernatural","Catwoman, Deadpool, Harley Quinn, Batman (Bruce Wayne), Black Cat (Felicia Hardy), Carnage, Joker, Knull, Moon Knight, Punisher, Spider-Gwen, Spider-Man (Miles Morales), Spider-Man (Peter Parker), Venom, Wolverine (Laura Kinney), Wolverine (Logan), Wonder Woman (Diana Prince)",,"Alien, Buffy the Vampire Slayer, DC Universe, Marvel (MCU)",US ,19.40,4.99,buy_it_now,,2022-12-22,"Providence, Rhode Island, United States",thecollectorer,473,https://www.ebay.com/itm/304744965782?hash=item46f4372696:g:KQcAAOSwTbBjoT~P&amdata=enc%3AAQAHAAAAoDtJXpOCkUg3JlbCKl5siZKXzVQEzBShyHoBDx50ao6a1GCfTSPKq1XS97suZOfZ9ckIkMdMTKfi1xxr2GsXr1CN8h80KbYJUSIDDOReAP0WJNNaM5tU%2F%2FC8NnYAH6kdsBVuxAEEJiM2FPeJhW9hTC7qDuIOwKojGq2lhIqThhbrP9bYv%2BHxppPQ36RtxKP4tLuPSIg1fjCAAleSIOlPKgQ%3D%7Ctkp%3ABk9SR8Clx8KnYQ
Amazing Spider-Man 1994 #385 Meet Spiders New Pals NM 🔥,Amazing Spider-Man,,,https://i.ebayimg.com/images/g/2RIAAOSwt~1jell5/s-l500.jpg,--,9.4,Marvel,1994,Softcover,US Comics,,Modern Age (1992-Now),Comic Book,,Spider-Man,,,US ,4.99,6.00,highest_bidder,1,2022-12-22,"Rochester, New York, United States",bcccollectibles,623,https://www.ebay.com/itm/364084872144?hash=item54c52643d0:g:2RIAAOSwt~1jell5&amdata=enc%3AAQAHAAAAoGSnBjtgWME6hhfB5B9iu29ok1PaCWWUXhyKyi0%2F8twtafqLafvF0oohmMKccapNJbNeC%2BfouK0E4oE1Dqk8HtJ4iGDoxLVCVMWIHQIOTs0MNCXgEbukIkxBD3IETJ6UKKC4GbrOWyfsCLYcvYbgxzELalN9VUDNO6V4x%2F5bfP3ExoOvLHZw%2B81uUZ%2F%2FzaJSAV7YQqBAnSBRJjjjrzHJI9o%3D%7Ctkp%3ABk9SR8Clx8KnYQ
* Amazing Spider-Man #42 * KEY! 1st Mary Jane Watson ! Marvel Comics 1966 … VG+,Amazing Spider-Man,42,,https://i.ebayimg.com/images/g/IKIAAOSwElpjo07b/s-l500.jpg,Very Good,4.5,Marvel Comics,1966,Softcover,US Comics,"First Character Appearance, Key Issue",Silver Age (1956-69),Comic Book,"Action, Adventure, Superheroes","Mary Jane Watson, Rhino, Spider-Man (Peter Parker)",,Marvel (MCU),US ,99.99,5.99,best_offer_accepted,,2022-12-22,"Terryville, Connecticut, United States",collectdoor,1420,https://www.ebay.com/itm/285083724522?hash=item4260506aea:g:IKIAAOSwElpjo07b&amdata=enc%3AAQAHAAAA4HDRtD9sCruU3vGJEqe9QYl3bBrzZts784DAR3Z7%2FS9%2FehenWQRaD%2Bs5%2FKWcdZ0%2FMY8sE2HCtayGMa5gLYQ76d3LcZb49QIfH3Dxo37QnFHD3Ou9uCh7tUKf5lPVBxJMN6yAI3k%2FpGJI%2FO6CbjUX0hGwtgNwJsf3qzIsiWewtD6eQ2eWMqJlnjEkn6arn7SZnHttQVPaex32tNdVJQKLuWd6uvb8TXMRF3N2JiUYPn8V7N5TXHTuVDE8GQ4YTKvmx5abvJaMNJ0si4vBlKD%2Fmo%2Br7Ax9RAtc9J2fcfesFoB3%7Ctkp%3ABk9SR76lx8KnYQ
